Designator,Mid X,Mid Y,Rotation,Layer
C1,140.681801,-91.4,0.0,top
C10,136.781801,-99.4,180.0,top
C11,134.256801,-95.125,90.0,top
C12,134.256801,-98.175,270.0,top
C13,155.55,-111.925,270.0,top
C14,149.056801,-112.925,270.0,top
C15,158.031801,-104.15,180.0,top
C16,158.056801,-108.65,0.0,top
C17,158.256801,-111.15,0.0,top
C18,135.156801,-86.8875,270.0,top
C19,133.744301,-79.4125,90.0,top
C2,153.256801,-94.65,270.0,top
C20,144.256801,-80.225,90.0,top
C21,142.256801,-82.15,90.0,top
C24,155.006801,-79.9375,90.0,top
C25,153.006801,-79.9375,90.0,top
C26,151.006801,-79.9375,90.0,top
C3,150.031801,-106.9,180.0,top
C4,141.981801,-106.85,180.0,top
C5,137.506801,-94.6,90.0,top
C6,146.806801,-113.1,270.0,top
C7,146.506801,-107.15,180.0,top
C8,137.606801,-101.875,90.0,top
C9,135.756801,-101.875,90.0,top
D1,151.806801,-114.4,180.0,top
D2,135.969301,-111.65,0.0,top
D3,135.969301,-113.9,0.0,top
FB1,158.356801,-106.4,0.0,top
J1,160.236801,-86.935,180.0,top
J2,156.4,-119.15,90.0,top
J3,167.181801,-99.15,90.0,top
J4,125.506801,-90.21,0.0,top
J5,125.506801,-107.96,0.0,top
J6,136.736801,-119.15,90.0,top
R1,157.256801,-116.4,0.0,top
R2,158.556801,-82.4,180.0,top
R3,167.0,-92.9,0.0,top
R4,166.975,-105.4,0.0,top
R5,155.056801,-114.4,0.0,top
R6,132.681801,-111.65,180.0,top
R7,132.681801,-113.9,180.0,top
R8,144.581801,-89.4,180.0,top
R9,140.681801,-89.4,0.0,top
U1,145.506801,-99.15,270.0,top
U2,159.5625,-99.15,0.0,top
U4,134.244301,-83.15,0.0,top
U5,144.744301,-83.175,90.0,top
U6,152.994301,-83.15,180.0,top
U7,152.1625,-111.65,0.0,top
Y1,131.606801,-96.3,270.0,top
